Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
197,Portland,WCC,15-19,-2.8,106.4,109.2,68.5,0.064,4.08,111.7,107.6,1.11,1339.0,2026
198,Lipscomb,ASun,19-13,-2.82,107.2,110.0,69.4,0.044,-4.88,109.2,114.0,5.09,1252.0,2026
199,UMBC,AE,22-8,-2.84,107.7,110.5,66.2,0.048,-14.4,101.1,115.5,-6.81,1420.0,2026
200,Indiana St.,MVC,11-21,-2.89,106.5,109.4,68.1,-0.11,1.55,109.0,107.4,-5.37,1232.0,2026
201,Massachusetts,MAC,16-15,-2.92,108.9,111.8,70.1,-0.057,-4.02,107.7,111.7,-6.27,1269.0,2026
202,Howard,MEAC,21-10,-3.01,103.9,106.9,69.1,-0.023,-13.46,101.2,114.7,-1.34,1224.0,2026
203,Marist,MAAC,19-12,-3.06,99.8,102.8,66.4,-0.027,-8.58,104.4,113.0,-7.02,1265.0,2026
204,Jacksonville St.,CUSA,15-16,-3.18,105.7,108.9,65.4,-0.05,-2.7,108.2,110.9,-6.01,1240.0,2026
205,Marshall,SB,19-13,-3.18,112.4,115.5,69.3,0.034,-3.88,107.8,111.7,-0.75,1267.0,2026
206,South Alabama,SB,21-11,-3.19,107.2,110.4,64.7,0.058,-5.76,106.5,112.2,-5.09,1375.0,2026
207,Buffalo,MAC,17-14,-3.25,113.1,116.3,66.5,-0.015,-3.9,107.5,111.4,-6.56,1138.0,2026
208,Louisiana Tech,CUSA,18-13,-3.31,102.2,105.5,64.5,0.04,-2.94,108.3,111.3,-6.85,1256.0,2026
209,Green Bay,Horz,18-15,-3.5,112.8,116.3,62.9,0.064,-1.78,110.5,112.3,6.67,1453.0,2026
210,Tulane,Amer,17-14,-3.66,108.0,111.7,67.0,0.125,0.62,108.8,108.2,-3.3,1408.0,2026
211,Cal Poly,BW,14-18,-3.86,109.9,113.8,74.1,0.009,1.44,109.2,107.7,5.48,1142.0,2026
212,Samford,SC,18-14,-3.86,109.9,113.8,67.3,0.009,-5.55,108.5,114.0,0.69,1359.0,2026
213,James Madison,SB,18-15,-3.9,109.4,113.3,66.0,0.017,-4.55,107.0,111.6,-2.3,1241.0,2026
214,Missouri St.,CUSA,14-17,-3.94,108.2,112.2,65.9,-0.057,-1.46,108.4,109.8,-0.75,1283.0,2026
215,Tarleton St.,WAC,14-17,-3.97,104.4,108.4,69.0,-0.031,1.37,108.6,107.3,4.35,1470.0,2026
216,Youngstown St.,Horz,15-17,-3.99,105.7,109.7,67.3,-0.092,-3.5,109.9,113.4,-1.44,1464.0,2026
217,LIU,NEC,23-10,-4.07,105.6,109.7,67.8,0.102,-9.45,104.2,113.6,2.47,1254.0,2026
218,Quinnipiac,MAAC,19-13,-4.22,104.5,108.7,69.9,0.027,-7.08,104.5,111.5,1.71,1346.0,2026
219,Southern Miss,SB,19-16,-4.23,105.5,109.7,69.3,0.043,-3.4,107.6,111.0,1.33,1379.0,2026
220,Detroit Mercy,Horz,17-14,-4.24,108.9,113.2,68.8,0.082,-2.24,109.9,112.2,8.0,1178.0,2026
221,South Dakota St.,Sum,14-18,-4.3,108.3,112.6,66.8,-0.117,-2.76,108.1,110.9,2.9,1355.0,2026
222,Drexel,CAA,17-16,-4.64,102.7,107.3,64.3,0.003,-4.01,106.8,110.8,-7.59,1180.0,2026
223,Tennessee Martin,OVC,22-11,-4.89,100.7,105.6,64.2,0.048,-8.53,103.3,111.8,0.34,1404.0,2026
224,San Diego,WCC,12-21,-4.99,108.5,113.5,68.0,0.003,2.57,110.0,107.4,-2.02,1360.0,2026
225,La Salle,A10,9-22,-5.17,105.6,110.8,65.6,-0.029,5.65,111.7,106.0,4.4,1247.0,2026
226,Rice,Amer,13-18,-5.23,108.8,114.0,65.6,0.009,0.01,109.2,109.2,-1.75,1349.0,2026
